State,Town,Crimes,Type
Alabama,Florence,2,Race
Alabama,Florence,0,Religion
Alabama,Florence,0,Sexual Orientation
Alabama,Florence,0,Ethinictity
Alabama,Florence,0,Disability
Alabama,Florence,0,Gender
Alabama,Florence,0,Gender Identity
Alabama,Hoover,0,Race
Alabama,Hoover,0,Religion
Alabama,Hoover,1,Sexual Orientation
Alabama,Hoover,0,Ethinictity
Alabama,Hoover,0,Disability
Alabama,Hoover,0,Gender
Alabama,Hoover,0,Gender Identity
Alabama,Prattville,2,Race
Alabama,Prattville,0,Religion
Alabama,Prattville,0,Sexual Orientation
Alabama,Prattville,0,Ethinictity
Alabama,Prattville,0,Disability
Alabama,Prattville,0,Gender
Alabama,Prattville,0,Gender Identity
Alabama,Tuscaloosa,1,Race
Alabama,Tuscaloosa,0,Religion
Alabama,Tuscaloosa,0,Sexual Orientation
Alabama,Tuscaloosa,0,Ethinictity
Alabama,Tuscaloosa,0,Disability
Alabama,Tuscaloosa,0,Gender
Alabama,Tuscaloosa,0,Gender Identity
Alaska,Anchorage,8,Race
Alaska,Anchorage,0,Religion
Alaska,Anchorage,0,Sexual Orientation
Alaska,Anchorage,0,Ethinictity
Alaska,Anchorage,0,Disability
Alaska,Anchorage,0,Gender
Alaska,Anchorage,0,Gender Identity
Arizona,Apache Junction,1,Race
Arizona,Apache Junction,0,Religion
Arizona,Apache Junction,0,Sexual Orientation
Arizona,Apache Junction,0,Ethinictity
Arizona,Apache Junction,0,Disability
Arizona,Apache Junction,0,Gender
Arizona,Apache Junction,0,Gender Identity
Arizona,Avondale,4,Race
Arizona,Avondale,0,Religion
Arizona,Avondale,0,Sexual Orientation
Arizona,Avondale,1,Ethinictity
Arizona,Avondale,0,Disability
Arizona,Avondale,0,Gender
Arizona,Avondale,0,Gender Identity
Arizona,Cochise,0,Race
Arizona,Cochise,1,Religion
Arizona,Cochise,0,Sexual Orientation
Arizona,Cochise,0,Ethinictity
Arizona,Cochise,0,Disability
Arizona,Cochise,0,Gender
Arizona,Cochise,1,Gender Identity
Arizona,Eagar,0,Race
Arizona,Eagar,0,Religion
Arizona,Eagar,0,Sexual Orientation
Arizona,Eagar,1,Ethinictity
Arizona,Eagar,0,Disability
Arizona,Eagar,0,Gender
Arizona,Eagar,0,Gender Identity
Arizona,El Mirage,1,Race
Arizona,El Mirage,0,Religion
Arizona,El Mirage,0,Sexual Orientation
Arizona,El Mirage,0,Ethinictity
Arizona,El Mirage,0,Disability
Arizona,El Mirage,0,Gender
Arizona,El Mirage,0,Gender Identity
Arizona,Gilbert,1,Race
Arizona,Gilbert,0,Religion
Arizona,Gilbert,0,Sexual Orientation
Arizona,Gilbert,0,Ethinictity
Arizona,Gilbert,0,Disability
Arizona,Gilbert,0,Gender
Arizona,Gilbert,0,Gender Identity
Arizona,Glendale,2,Race
Arizona,Glendale,,Religion
Arizona,Glendale,3,Sexual Orientation
Arizona,Glendale,1,Ethinictity
Arizona,Glendale,1,Disability
Arizona,Glendale,0,Gender
Arizona,Glendale,0,Gender Identity
Arizona,Goodyear,0,Race
Arizona,Goodyear,0,Religion
Arizona,Goodyear,2,Sexual Orientation
Arizona,Goodyear,0,Ethinictity
Arizona,Goodyear,0,Disability
Arizona,Goodyear,0,Gender
Arizona,Goodyear,0,Gender Identity
Arizona,Maricopa,2,Race
Arizona,Maricopa,1,Religion
Arizona,Maricopa,0,Sexual Orientation
Arizona,Maricopa,0,Ethinictity
Arizona,Maricopa,0,Disability
Arizona,Maricopa,0,Gender
Arizona,Maricopa,0,Gender Identity
Arizona,Mesa,1,Race
Arizona,Mesa,1,Religion
Arizona,Mesa,0,Sexual Orientation
Arizona,Mesa,0,Ethinictity
Arizona,Mesa,0,Disability
Arizona,Mesa,0,Gender
Arizona,Mesa,0,Gender Identity
Arizona,Northern Arizona University,0,Race
Arizona,Northern Arizona University,0,Religion
Arizona,Northern Arizona University,1,Sexual Orientation
Arizona,Northern Arizona University,0,Ethinictity
Arizona,Northern Arizona University,0,Disability
Arizona,Northern Arizona University,0,Gender
Arizona,Northern Arizona University,0,Gender Identity
Arizona,Phoenix,40,Race
Arizona,Phoenix,12,Religion
Arizona,Phoenix,14,Sexual Orientation
Arizona,Phoenix,14,Ethinictity
Arizona,Phoenix,1,Disability
Arizona,Phoenix,0,Gender
Arizona,Phoenix,0,Gender Identity
Arizona,Pima,1,Race
Arizona,Pima,1,Religion
Arizona,Pima,1,Sexual Orientation
Arizona,Pima,0,Ethinictity
Arizona,Pima,0,Disability
Arizona,Pima,0,Gender
Arizona,Pima,0,Gender Identity
Arizona,Prescott,0,Race
Arizona,Prescott,0,Religion
Arizona,Prescott,0,Sexual Orientation
Arizona,Prescott,1,Ethinictity
Arizona,Prescott,0,Disability
Arizona,Prescott,0,Gender
Arizona,Prescott,0,Gender Identity
Arizona,Scottsdale,0,Race
Arizona,Scottsdale,1,Religion
Arizona,Scottsdale,0,Sexual Orientation
Arizona,Scottsdale,1,Ethinictity
Arizona,Scottsdale,0,Disability
Arizona,Scottsdale,0,Gender
Arizona,Scottsdale,0,Gender Identity
Arizona,Tempe,1,Race
Arizona,Tempe,0,Religion
Arizona,Tempe,2,Sexual Orientation
Arizona,Tempe,0,Ethinictity
Arizona,Tempe,0,Disability
Arizona,Tempe,0,Gender
Arizona,Tempe,0,Gender Identity
Arizona,Tucson,13,Race
Arizona,Tucson,6,Religion
Arizona,Tucson,6,Sexual Orientation
Arizona,Tucson,1,Ethinictity
Arizona,Tucson,0,Disability
Arizona,Tucson,0,Gender
Arizona,Tucson,0,Gender Identity
Arizona,University of Arizona,2,Race
Arizona,University of Arizona,0,Religion
Arizona,University of Arizona,0,Sexual Orientation
Arizona,University of Arizona,0,Ethinictity
